Unnamed: 0,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,28_pendigits,9_census,24_mnist,36_speech,1_ALOI,5_campaign,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.3, 'network_initialization': 'kaiming_normal', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 100, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,0.5671907131866021,,0.4600702652549678,,,0.73918897473633,0.8452720661315603,0.989970535079734,0.3777337456680022,0.9581423505172268,,0.8883057780440584,,,,,,0.7987416106523268,,,,0.7032036863579706,0.8447830993931624,,,0.9086661125715572,0.5167613657348753,0.4380979005697215,0.6776756366711066
"{'augmentation': 'SMOTE', 'preprocess': 'normalize', 'network_architecture': 'FTT', 'layers': 3, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.0001}",0.9959981700653288,0.6742950457735153,0.989101872323721,0.98125807106048,0.991825724943454,,0.9780476040191448,0.988986893093029,0.9910856074230509,0.9683898693681358,,0.9690390711031444,0.9929494478498204,,0.994576680946598,,0.9532798976527634,0.996738850624576,0.9937151104655833,0.980491375018054,0.949836632969049,0.9494827423287192,0.995928492301059,0.968769593050983,0.9775331302916324,0.8935632108852707,0.9756135128130072,0.764315857308103,0.970583850749584,0.9254334026283262
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 1, 'hidden_size_list': [20], 'act_fun': 'LeakyReLU', 'dropout': 0.3, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.01, 'weight_decay': 0.01}",0.9944603229027384,0.7438646363304404,0.9844042452912638,0.9430588857126552,0.968574861314954,0.9948205805716072,0.8628502789711854,0.96850673489883,0.9916181037224604,0.9445134152840422,0.9832056059417488,0.9789139408027492,0.9903398954924288,0.9971063464227524,0.9796373315604264,1.0,0.9200439141995398,0.9969895567620584,0.9864949053553276,0.9948996300384062,0.8605191492933824,0.9399423127446694,0.9964122714282888,0.9222718223797656,0.9698029187192708,,0.9662854776630356,0.5763367835989968,0.931580139507119,0.8752670572989282
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.01}",0.9984945643048122,0.883362297302665,0.9991347822465596,0.9923017409023625,0.991183770854233,0.9974584733074924,0.9727082794912868,0.9826604459893632,0.9916004588862096,0.9692299759649384,0.999384322869039,0.9826441192747676,0.9942463224552368,0.999242572295,0.9986513457414,1.0,0.956797534068087,0.9981864736453732,0.9937157236960208,0.9986802865877838,0.97565654216879,0.9643103398143588,0.993493064716721,0.962567055813163,0.9897111647601132,0.897564319901182,0.9944609783290814,0.9850245756906422,0.9715692024709786,0.992172698737882
"{'augmentation': 'Mixup', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.0001}",0.995632868523422,0.82004203283666,0.9912139306152395,0.9930168462525332,0.987756226198762,0.9980133650577132,0.9716776394373646,0.9875028052939048,0.9935145167730648,0.9623090496424472,0.9984622684824682,0.9811608705703196,0.9978745853268768,0.9977717986035328,0.9952708298494516,1.0,0.9768372441986334,0.9983955758895544,0.9973722820065144,0.9976502236051408,0.9513595292114916,0.9759053115464263,0.9959328287840538,0.9690031697619944,0.995955478717976,0.8991496421037017,0.9981645660839517,0.9758880009914208,0.9727716070099646,0.9787479054584914
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 1, 'hidden_size_list': [20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.9373594731868956,0.6253230059673833,0.7722844017518664,0.9262458562370464,0.5901652915713129,0.9878999606714826,0.7964136255448304,0.905712583356804,0.9897202106883924,0.8421134444353587,0.9460365339650816,0.9320616041756749,0.985594998807224,0.935787701369291,0.9483557779280052,0.999106459592127,0.7017622300303941,0.8855524750276722,0.8772371397456511,0.9850700201243752,0.7325098340006343,0.959369494809104,0.9112858341438717,0.8947332712700524,0.9875486869476504,0.7169139785307599,0.907818288175811,0.5775944784772111,0.8062718494045494,0.7461622417868626
"{'augmentation': 'Oversampling', 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.3, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 64, 'lr': 0.001, 'weight_decay': 0.01}",0.4498672113161868,0.5,0.4374548134850693,0.9162633717719486,0.4287209964000569,0.9842947153723688,0.442045465454434,0.9259957841313076,0.9894516297473124,0.5,0.9728401742653972,0.9430777600740314,0.988835774516813,0.922865875375135,0.9508257186672484,0.5,0.5,0.5,0.5,0.991036233088205,0.5,0.9457687148637226,0.8994479416169245,0.8987641142587168,0.9857776852970196,0.7150996692336871,0.9186424760050502,0.5,0.5007239382239382,0.4902046855733662
"{'augmentation': None, 'preprocess': 'normalize', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'kaiming_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 20, 'batch_size': 16, 'lr': 0.001, 'weight_decay': 0.01}",0.9953841500480064,0.7675598381511166,0.9928230004997588,0.938869215251218,0.9886103237098968,0.9956081495318924,0.9358054611375044,0.9812523100169104,0.9905415838209408,0.9560475768601492,0.997629272049301,0.969678829150256,0.9903718087822756,0.9974036292706804,0.9827389752297652,1.0,0.9446338789004072,0.9994160420706696,0.9882154073164204,0.9934649146829992,0.9121579416230988,0.9424721950735302,0.9971869591186244,0.9297798006865468,0.989878211575858,0.907457840579086,0.983060261777382,0.927911744898648,0.9452562310223522,0.925646088736116
"{'augmentation': 'Oversampling', 'preprocess': 'normalize', 'network_architecture': 'ResNet', 'layers': 3, 'hidden_size_list': [100, 50, 20], 'act_fun': 'ReLU', 'dropout': 0.1, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.9999194287695844,0.9391111383602592,1.0,0.998921613240638,0.9993687414736212,0.999623271245828,0.9945087932219197,0.9849281698440314,0.996180898561068,0.9803442090576868,0.9994645961348164,0.98439408800936,0.998712445040114,0.9999972080029074,1.0,1.0,0.9759392397947668,0.999978616339934,0.9999934643827154,0.9999857327028812,0.9958416698161564,0.9867498503565512,0.999323902632688,0.9776459839905942,0.9968463005526408,0.9082511002315165,0.9997837702366632,1.0,0.9828884427563304,0.9998935146571462
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 1, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'xavier_uniform', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 100, 'batch_size': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.9964037408754288,0.8247446054089189,0.9877338337257182,0.986793402608707,0.9658886199146872,0.9794808735217052,0.9534314689770192,0.98212774324083,0.992398752507265,0.9657887731370324,0.991476772620958,0.9815174396910388,0.9944534948778252,0.992929517050438,0.9901650689716964,0.8965526013352165,0.9226558877599964,0.9449994275006072,0.9952276432309496,0.9967650402604352,0.9499125138088784,0.9268184285026372,0.9814809877939166,0.9612181068572904,0.9889091112150542,0.9008569001507388,0.9949184394597024,0.9278679553369892,0.9748033408641762,0.952114193873046
